,Sub-Metric Code,Sub-Metric OR Sub-Activity Metric
2097,RT-CP-140a.3c,Number of incidents of non-compliance associated with water quality regulations
2098,RT-CP-150a.1a,Amount of hazardous waste
2099,RT-CP-150a.1b,Percentage of hazardous waste that is recycled
2100,RT-CP-150a.1c,"The entity shall disclose the legal or regulatory framework(s) used to define hazardous waste and recycled hazardous waste, and the amounts of waste defined in accordance with each applicable framework"
2101,RT-CP-250a.1a,Number of recalls
2102,RT-CP-250a.1b,Total units recalled
2103,RT-CP-250a.1c,"The entity shall discuss notable recalls, such as those that affected a significant number of products, a significant number of units of one product, or those related to serious injury or fatality"
2104,RT-CP-250a.2a,Discussion of process to identify and manage emerging materials and chemicals of concern
2105,RT-CP-410a.1a,Percentage of raw materials from recycled content
2106,RT-CP-410a.1b,Percentage of raw materials from renewable resources
2107,RT-CP-410a.1c,Percentage of raw materials from renewable and recycled content
2108,RT-CP-410a.2a,Revenue from products that are reusable
2109,RT-CP-410a.2b,Revenue from products that are recyclable
2110,RT-CP-410a.2c,Revenue from products that are compostable
2111,RT-CP-410a.3a,Description of strategies to reduce the environmental impact of packaging throughout its lifecycle
2112,RT-CP-430a.1a,Total wood fiber procured
2113,RT-CP-430a.1b,"Total wood fiber procured, percentage from certified sources"
2114,RT-CP-430a.2a,Total aluminum purchased
2115,RT-CP-430a.2b,Percentage of aluminum purchased from certified sources
2116,RT-EE-000.Aa,Number of units produced by product category
2117,RT-EE-000.Ba,Number of employees
2118,RT-EE-130a.1a,Total energy consumed
2119,RT-EE-130a.1b,Percentage of total energy consumed that is grid electricity
2120,RT-EE-130a.1c,Percentage of total energy consumed that is renewable
2121,RT-EE-150a.1a,Amount of hazardous waste
2122,RT-EE-150a.1b,Percentage of hazardous waste that is recycled
2123,RT-EE-150a.1c,"The entity shall disclose the legal or regulatory framework(s) used to define hazardous waste and recycled hazardous waste, and the amounts of waste defined in accordance with each applicable framework"
2124,RT-EE-150a.2a,Number and aggregate quantity of reportable spills
2125,RT-EE-150a.2b,Quantity of reportable spills recovered
2126,RT-EE-150a.2c,The entity shall discuss its long-term activities to remediate spills that occurred in years prior to the reporting period but for which remediation activities are ongoing
2127,RT-EE-250a.1a,Number of recalls issued
2128,RT-EE-250a.1b,Total units recalled
2129,RT-EE-250a.1c,"The entity shall discuss notable recalls, such as those that affected a significant number of products or those related to serious injury or fatality"
2130,RT-EE-250a.2a,Total amount of legal and regulatory fines and settlements associated with product safety
2131,RT-EE-250a.2b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
2132,RT-EE-410a.1a,Percentage of products by revenue that contain IEC 62474 declarable substances
2133,RT-EE-410a.2a,"Percentage of eligible products, by revenue, that meet ENERGY STAR® criteria"
2134,RT-EE-410a.3a,Revenue from renewable energy-related products
2135,RT-EE-410a.3b,Revenue from energy efficiency-related products
2136,RT-EE-440a.1a,Discussion of the management of risks associated with the use of critical materials
2137,RT-EE-510a.1a,Description of policies and practices for prevention of corruption and bribery
2138,RT-EE-510a.1b,Description of policies and practices for prevention of anti competitive behavior
2139,RT-EE-510a.2a,Total amount of monetary losses as a result of legal proceedings associated with bribery or corruption
2140,RT-EE-510a.2b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
2141,RT-EE-510a.3a,Total amount of monetary losses as a result of legal proceedings associated with anti-competitive behavior regulations
2142,RT-EE-510a.3b,"The entity shall briefly describe the nature (e.g., judgment or order issued after trial, settlement, guilty plea, deferred prosecution agreement, non-prosecution agreement) and context (e.g., price fixing, patent misuse, antitrust, etc) of all monetary losses as a result of legal proceedings"
2143,RT-IG-000.Aa,Number of units produced by product category
2144,RT-IG-000.Ba,Number of employees
2145,RT-IG-130a.1a,Total energy consumed
2146,RT-IG-130a.1b,Percentage of total energy consumed that is grid electricity
2147,RT-IG-130a.1c,Percentage of total energy consumed that is renewable
2148,RT-IG-320a.1a,Total recordable incident rate (TRIR)
2149,RT-IG-320a.1b,Fatality rate
2150,RT-IG-320a.1c,Near miss frequency rate (NMFR)
2151,RT-IG-410a.1a,Sales-weighted fleet fuel efficiency for medium- and heavy-duty vehicles
2152,RT-IG-410a.2a,Sales-weighted fuel efficiency for non-road equipment
2153,RT-IG-410a.3a,Sales-weighted fuel efficiency for stationary generators
2154,RT-IG-410a.4a,Sales-weighted emissions of nitrogen oxides (NO ) for marine diesel engines
2155,RT-IG-410a.4b,Sales-weighted emissions of nitrogen oxides (NO ) for locomotive diesel engines
2156,RT-IG-410a.4c,Sales-weighted emissions of nitrogen oxides (NO ) for on-road medium- and heavy-duty engines
2157,RT-IG-410a.4d,Sales-weighted emissions of nitrogen oxides (NO ) for other non-road diesel engines
2158,RT-IG-410a.4e,Sales-weighted emissions of particulate matter (PM) for marine diesel engines
2159,RT-IG-410a.4f,Sales-weighted emissions of particulate matter (PM) for locomotive diesel engines
2160,RT-IG-410a.4g,Sales-weighted emissions of particulate matter (PM) for on-road medium- and heavy-duty engines
2161,RT-IG-410a.4h,Sales-weighted emissions of particulate matter (PM) for other non-road diesel engines
2162,RT-IG-410a.4i,The entity shall discuss its strategies and approach to managing fleet fuel economy and emissions risks and opportunities
2163,RT-IG-440a.1a,Description of the management of risks associated with the use of critical materials and conflict minerals
2164,RT-IG-440b.1a,Revenue from remanufactured products
2165,RT-IG-440b.1b,Revenue from remanufacturing services
2166,RT-IG-440b.1c,Disclosure shall include a discussion of efforts to obtain end-of-life products and parts for remanufacture
2167,SV-AD-000.Aa,Median reach of advertisements and marketing campaigns
2168,SV-AD-000.Ba,Number of exposures to advertisements or marketing campaigns
2169,SV-AD-000.Ca,Median frequency of exposures
2170,SV-AD-000.Da,Number of employees
2171,SV-AD-220a.1a,Discussion of policies and practices relating to behavioral advertising and consumer privacy
2172,SV-AD-220a.2a,Percentage of online advertising impressions that are targeted to custom audiences
2173,SV-AD-220a.3a,Total amount of legal and regulatory fines and settlements associated with consumer privacy
2174,SV-AD-220a.3b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
2175,SV-AD-270a.1a,"Total amount of monetary losses as a result of legal proceedings associated with false, deceptive, or unfair advertising"
2176,SV-AD-270a.1b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
2177,SV-AD-270a.2a,Percentage of campaigns reviewed for adherence with the Advertising Self-Regulatory Council (ASRC) procedures
2178,SV-AD-270a.2b,Percentage of campaigns reviewed for adherence in compliance with the Advertising Self-Regulatory Council (ASRC) procedures
2179,SV-AD-270a.3a,Percentage of campaigns that promote alcohol products
2180,SV-AD-270a.3b,Percentage of campaigns that promote tobacco products
2181,SV-AD-330a.1a,Percentage of management who are female
2182,SV-AD-330a.1aa,Percentage of all other employees whose race/ethnicity is not available or not disclosed
2183,SV-AD-330a.1b,Percentage of management who are male
2184,SV-AD-330a.1bb,The entity shall describe its policies and programs for fostering equitable employee representation across its global operations
2185,SV-AD-330a.1c,Percentage of management whose gender is not available or not disclosed
2186,SV-AD-330a.1d,Percentage of professionals who are female
2187,SV-AD-330a.1e,Percentage of professionals who are male
2188,SV-AD-330a.1f,Percentage of professionals whose gender is not available or not disclosed
2189,SV-AD-330a.1g,Percentage of all other employees who are female
2190,SV-AD-330a.1h,Percentage of all other employees who are male
2191,SV-AD-330a.1i,Percentage of all other employees whose gender is not available or not disclosed
2192,SV-AD-330a.1j,Percentage of management who are Asian
2193,SV-AD-330a.1k,Percentage of management who are Black or African American
2194,SV-AD-330a.1l,Percentage of management who are Hispanic or Latino
2195,SV-AD-330a.1m,Percentage of management who are White
2196,SV-AD-330a.1n,Percentage of management whose race/ethnicity is classified as other
2197,SV-AD-330a.1o,Percentage of management whose race/ethnicity is not available or not disclosed
2198,SV-AD-330a.1p,Percentage of professionals who are Asian
2199,SV-AD-330a.1q,Percentage of professionals who are Black or African American
2200,SV-AD-330a.1r,Percentage of professionals who are Hispanic or Latino
2201,SV-AD-330a.1s,Percentage of professionals who are White
2202,SV-AD-330a.1t,Percentage of professionals whose race/ethnicity is classified as other
2203,SV-AD-330a.1u,Percentage of professionals whose race/ethnicity is not available or not disclosed
2204,SV-AD-330a.1v,Percentage of all other employees who are Asian
2205,SV-AD-330a.1w,Percentage of all other employees who are Black or African American
2206,SV-AD-330a.1x,Percentage of all other employees who are Hispanic or Latino
2207,SV-AD-330a.1y,Percentage of all other employees who are White
2208,SV-AD-330a.1z,Percentage of all other employees whose race/ethnicity is classified as other
2209,SV-CA-000.Aa,Number of tables
2210,SV-CA-000.Ba,Number of slots
2211,SV-CA-000.Ca,Number of active online gaming customers
2212,SV-CA-000.Da,Total area of gaming floor
2213,SV-CA-130a.1a,Total energy consumed
2214,SV-CA-130a.1b,Percentage of energy consumed that is grid electricity
2215,SV-CA-130a.1c,Percentage of energy consumed that is renewable
2216,SV-CA-260a.1a,Percentage of gaming facilities that implement the Responsible Gambling Index
2217,SV-CA-260a.2a,Percentage of online gaming operations that implement the National Council on Problem Gambling (NCPG) Internet Responsible Gambling Standards
2218,SV-CA-320a.1a,Percentage of gaming floor where smoking is allowed
2219,SV-CA-320a.2a,Percentage of gaming staff that work in areas where smoking is allowed
2220,SV-CA-510a.1a,Description of anti-money laundering policies and practices
2221,SV-CA-510a.2a,Total amount of monetary losses as a result of legal proceedings associated with money laundering
2222,SV-CA-510a.2b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
2223,SV-ED-000.Aa,Number of students enrolled
2224,SV-ED-000.Ba,Number of applications received for enrollment
2225,SV-ED-000.Ca,"Average registered credits per student, percentage online"
2226,SV-ED-000.Cb,Percentage of registered credits online
2227,SV-ED-000.Da,Number of teaching staff
2228,SV-ED-000.Db,Number of all other staff
2229,SV-ED-230a.1a,Description of approach to identifying and addressing data security risks
2230,SV-ED-230a.2a,"Description of policies and practices relating to collection, usage, and retention of student information"
2231,SV-ED-230a.3a,Number of data breaches
2232,SV-ED-230a.3b,Percentage of data breaches involving personally identifiable information (PII)
2233,SV-ED-230a.3c,Number of students affected by data security breaches
2234,SV-ED-230a.3d,Disclosure shall include a description of corrective actions implemented in response to data breaches
2235,SV-ED-260a.1a,Graduation rate
2236,SV-ED-260a.2a,On-time completion rate
2237,SV-ED-260a.3a,Job placement rate
2238,SV-ED-260a.4a,Debt-to-annual earnings rate
2239,SV-ED-260a.4b,Debt-to-discretionary income rate
2240,SV-ED-260a.5a,Program cohort default rate
2241,SV-ED-270a.1a,Description of policies to assure disclosure of key performance statistics to prospective students in advance of collecting any fees and discussion of outcomes
2242,SV-ED-270a.2a,"Total amount of monetary losses as a result of legal proceedings associated with advertising, marketing, and mandatory disclosures"
2243,SV-ED-270a.2b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
2244,SV-ED-270a.3a,Instruction and student services expenses
2245,SV-ED-270a.3b,Marketing and recruiting expenses
2246,SV-ED-270a.4a,Revenue from Title IV funding
2247,SV-ED-270a.4b,Revenue from GI Bill funding
2248,SV-ED-270a.4c,Revenue from private student loans
2249,SV-ED-270a.4d,Disclosure shall include a discussion of risks and opportunities associated with these and other funding sources
2250,SV-HL-000.Aa,Number of available room-nights
2251,SV-HL-000.Ba,Average occupancy rate
2252,SV-HL-000.Ca,Total area of lodging facilities
2253,SV-HL-000.Da,Number of lodging facilities that are managed
2254,SV-HL-000.Db,Percentage of lodging facilities that are managed
2255,SV-HL-000.Dc,Number of lodging facilities that are owned and leased
2256,SV-HL-000.Dd,Percentage of lodging facilities that are owned and leased
2257,SV-HL-000.De,Number of lodging facilities that are franchised
2258,SV-HL-000.Df,Percentage of lodging facilities that are franchised
2259,SV-HL-130a.1a,Total energy consumed
2260,SV-HL-130a.1b,Percentage of total energy consumed that is grid electricity
2261,SV-HL-130a.1c,Percentage of total energy consumed that is renewable
2262,SV-HL-140a.1a,Total water withdrawn
2263,SV-HL-140a.1b,Total water consumed
2264,SV-HL-140a.1c,Percentage of total water withdrawn in regions with High or Extremely High Baseline Water Stress
2265,SV-HL-140a.1d,Percentage of total water consumed in regions with High or Extremely High Baseline Water Stress
2266,SV-HL-160a.1a,Number of lodging facilities in or near areas of protected conservation status or endangered species habitat
2267,SV-HL-160a.2a,Description of environmental management policies and practices to preserve ecosystem services
2268,SV-HL-310a.1a,Voluntary turnover rate for lodging facility employees
2269,SV-HL-310a.1b,Involuntary turnover rate for lodging facility employees
2270,SV-HL-310a.2a,Total amount of monetary losses as a result of legal proceedings associated with labor law violations
2271,SV-HL-310a.2b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
2272,SV-HL-310a.3a,"Average hourly wage for lodging facility employees, by region"
2273,SV-HL-310a.3b,"Percentage of lodging facility employees earning minimum wage, by region"
2274,SV-HL-310a.4a,Discussion of policies and programs to prevent worker harassment
2275,SV-HL-450a.1a,Number of lodging facilities located in 100-year flood zones
2276,SV-LF-000.Aa,Attendance
2277,SV-LF-000.Ba,Number of customer-days
2278,SV-LF-130a.1a,Total energy consumed
2279,SV-LF-130a.1b,Percentage of energy consumed that is grid electricity
2280,SV-LF-130a.1c,Percentage of energy consumed that is renewable
2281,SV-LF-250a.1a,Customer fatality rate
2282,SV-LF-250a.1b,Customer injury rate
2283,SV-LF-250a.1c,"Disclosure shall include a description of serious incidents, outcomes, and corrective actions implemented in response"
2284,SV-LF-250a.2a,Percentage of facilities inspected for safety
2285,SV-LF-250a.2b,Percentage of facilities inspected for safety that failed inspection
2286,SV-LF-320a.1a,Total recordable incident rate (TRIR) for permanent employees
2287,SV-LF-320a.1b,Total recordable incident rate (TRIR) for seasonal employees
2288,SV-LF-320a.1c,Near miss frequency rate (NMFR) for permanent employees
2289,SV-LF-320a.1d,Near miss frequency rate (NMFR) for seasonal employees
2290,SV-ME-000.Aa,Total recipients of media
2291,SV-ME-000.Ab,Number of households reached by broadcast TV
2292,SV-ME-000.Ac,Number of subscribers to cable networks
2293,SV-ME-000.Ad,Circulation for magazines and newspapers
2294,SV-ME-000.Ba,Total number of media productions and publications
2295,SV-ME-260a.1a,Percentage of executives who are male
2296,SV-ME-260a.1aa,Percentage of all other employees whose race/ethnicity is not available or not disclosed
2297,SV-ME-260a.1b,Percentage of executives who are female
2298,SV-ME-260a.1bb,The entity shall describe its policies and programs for fostering equitable employee representation across its global operations
2299,SV-ME-260a.1c,Percentage of executives whose gender is not available or not disclosed
2300,SV-ME-260a.1d,Percentage of professionals who are female
2301,SV-ME-260a.1e,Percentage of professionals who are male
2302,SV-ME-260a.1f,Percentage of professionals whose gender is not available or not disclosed
2303,SV-ME-260a.1g,Percentage of all other employees who are female
2304,SV-ME-260a.1h,Percentage of all other employees who are male
2305,SV-ME-260a.1i,Percentage of all other employees whose gender is not available or not disclosed
2306,SV-ME-260a.1j,Percentage of executives who are Asian
2307,SV-ME-260a.1k,Percentage of executives who are Black or African American
2308,SV-ME-260a.1l,Percentage of executives who are Hispanic or Latino
2309,SV-ME-260a.1m,Percentage of executives who are White
2310,SV-ME-260a.1n,Percentage of executives whose race/ethnicity is classified as other
2311,SV-ME-260a.1o,Percentage of executives whose race/ethnicity is not available or not disclosed
2312,SV-ME-260a.1p,Percentage of professionals who are Asian
2313,SV-ME-260a.1q,Percentage of professionals who are Black or African American
2314,SV-ME-260a.1r,Percentage of professionals who are Hispanic or Latino
2315,SV-ME-260a.1s,Percentage of professionals who are White
2316,SV-ME-260a.1t,Percentage of professionals whose race/ethnicity is classified as other
2317,SV-ME-260a.1u,Percentage of professionals whose race/ethnicity is not available or not disclosed
2318,SV-ME-260a.1v,Percentage of all other employees who are Asian
2319,SV-ME-260a.1w,Percentage of all other employees who are Black or African American
2320,SV-ME-260a.1x,Percentage of all other employees who are Hispanic or Latino
2321,SV-ME-260a.1y,Percentage of all other employees who are White
2322,SV-ME-260a.1z,Percentage of all other employees whose race/ethnicity is classified as other
2323,SV-ME-260a.2a,Description of policies and procedures to ensuring pluralism in news media content
2324,SV-ME-270a.1a,Total amount of monetary losses as a result of legal proceedings associated with libel or slander
2325,SV-ME-270a.1b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
2326,SV-ME-270a.2a,Revenue from embedded advertising
2327,SV-ME-270a.3a,"Description of approach to ensuring journalistic integrity of news programming related to truthfulness, accuracy, objectivity, fairness, and accountability"
2328,SV-ME-270a.3b,Description of approach to ensuring journalistic integrity of news programming related to independence of content and/or transparency of potential bias
2329,SV-ME-270a.3c,Description of approach to ensuring journalistic integrity of news programming related to protection of privacy and limitation of harm
2330,SV-ME-520a.1a,Description of approach to ensuring intellectual property (IP) protection
2331,SV-PS-000.Aa,Number of full-time and part-time employees
2332,SV-PS-000.Ab,Number of temporary employees
2333,SV-PS-000.Ac,Number of contract employees
2334,SV-PS-000.Ba,Employee hours worked
2335,SV-PS-000.Bb,Percentage billable of employee hours worked
2336,SV-PS-230a.1a,Description of approach to identifying and addressing data security risks
2337,SV-PS-230a.2a,"Description of policies and practices relating to collection, usage, and retention of customer information"
2338,SV-PS-230a.3a,Number of data breaches
2339,SV-PS-230a.3b,Percentage of data breaches involving customers' confidential business information (CBI) or personally identifiable information (PII)
2340,SV-PS-230a.3c,Number of customers affected by data breaches
2341,SV-PS-230a.3d,Disclosure shall include a description of corrective actions implemented in response to data breaches
2342,SV-PS-330a.1a,Percentage of executive management who are female
2343,SV-PS-330a.1aa,Percentage of contingent all other employees whose race/ethnicity is not available or not disclosed
2344,SV-PS-330a.1b,Percentage of executive management who are male
2345,SV-PS-330a.1bb,The entity shall describe its policies and programs for fostering equitable employee representation across its global operations
2346,SV-PS-330a.1c,Percentage of executive management whose gender is not available or not disclosed
2347,SV-PS-330a.1d,Percentage of non-contingent all other employees who are female
2348,SV-PS-330a.1e,Percentage of non-contingent all other employees who are male
2349,SV-PS-330a.1f,Percentage of non-contingent all other employees whose gender is not available or not disclosed
2350,SV-PS-330a.1g,Percentage of contingent all other employees who are female
2351,SV-PS-330a.1h,Percentage of contingent all other employees who are male
2352,SV-PS-330a.1i,Percentage of contingent all other employees whose gender is not available or not disclosed
2353,SV-PS-330a.1j,Percentage of executive management who are Asian
2354,SV-PS-330a.1k,Percentage of executive management who are Black or African American
2355,SV-PS-330a.1l,Percentage of executive management who are Hispanic or Latino
2356,SV-PS-330a.1m,Percentage of executive management who are White
2357,SV-PS-330a.1n,Percentage of executive management who are Other
2358,SV-PS-330a.1o,Percentage of executive management whose race/ethnicity is not available or not disclosed
2359,SV-PS-330a.1p,Percentage of non-contingent all other employees who are Asian
2360,SV-PS-330a.1q,Percentage of non-contingent all other employees who are Black or African American
2361,SV-PS-330a.1r,Percentage of non-contingent all other employees who are Hispanic or Latino
2362,SV-PS-330a.1s,Percentage of non-contingent all other employees who are White
2363,SV-PS-330a.1t,Percentage of non-contingent all other employees who are Other
2364,SV-PS-330a.1u,Percentage of non-contingent all other employees whose race/ethnicity is not available or not disclosed
2365,SV-PS-330a.1v,Percentage of contingent all other employees who are Asian
2366,SV-PS-330a.1w,Percentage of contingent all other employees who are Black or African American
2367,SV-PS-330a.1x,Percentage of contingent all other employees who are Hispanic or Latino
2368,SV-PS-330a.1y,Percentage of contingent all other employees who are White
2369,SV-PS-330a.1z,Percentage of contingent all other employees who are Other
2370,SV-PS-330a.2a,Voluntary turnover rate
2371,SV-PS-330a.2b,Involuntary turnover rate
2372,SV-PS-330a.3a,Employee engagement as a percentage
2373,SV-PS-330a.3b,Disclosure shall include a description of the methodology employed
2374,SV-PS-510a.1a,Description of approach to ensuring professional integrity
2375,SV-PS-510a.2a,Total amount of monetary losses as a result of legal proceedings associated with professional integrity
2376,SV-PS-510a.2b,"The entity shall briefly describe the nature, context, and corrective actions taken as a result of the monetary losses"
2377,TC-ES-000.Aa,Number of manufacturing facilities
2378,TC-ES-000.Ba,Area of manufacturing facilities
2379,TC-ES-000.Ca,Number of employees
2380,TC-ES-140a.1a,Total water withdrawn
2381,TC-ES-140a.1b,Total water consumed
2382,TC-ES-140a.1c,Percentage of total water withdrawn in regions with High or Extremely High Baseline Water Stress
2383,TC-ES-140a.1d,Percentage of total water consumed in regions with High or Extremely High Baseline Water Stress
2384,TC-ES-150a.1a,Amount of hazardous waste from manufacturing
2385,TC-ES-150a.1b,Percentage of hazardous waste from manufacturing recycled
2386,TC-ES-150a.1c,"The entity shall disclose the legal or regulatory framework(s) used to define hazardous waste and recycled hazardous waste, and the amounts of waste defined in accordance with each applicable framework"
2387,TC-ES-310a.1a,Number of work stoppages
2388,TC-ES-310a.1b,Total days idle
2389,TC-ES-310a.1c,"Disclosure shall include a description of the reason for each work stoppage, impact on operations, and any corrective actions taken"
2390,TC-ES-320a.1a,Total recordable incident rate for direct employees
2391,TC-ES-320a.1b,Total recordable incident rate for contract employees
2392,TC-ES-320a.1c,Near miss frequency rate for direct employees
2393,TC-ES-320a.1d,Near miss frequency rate for contract employees
2394,TC-ES-320a.2a,Percentage of all entity’s facilities audited in the RBA Validated Audit Process (VAP) or equivalent
2395,TC-ES-320a.2b,Percentage of entity’s high-risk facilities audited in the RBA Validated Audit Process (VAP) or equivalent
2396,TC-ES-320a.2c,Percentage of all Tier 1 supplier facilities audited in the RBA Validated Audit Process (VAP) or equivalent
2397,TC-ES-320a.2d,Percentage of Tier 1 supplier high-risk facilities audited in the RBA Validated Audit Process (VAP) or equivalent
2398,TC-ES-320a.3a,Social and environmental responsibility audit compliance for entity: priority non-conformance rate and associated corrective action rate
2399,TC-ES-320a.3b,Social and environmental responsibility audit compliance for entity: other non- conformances rate and associated corrective action rate
2400,TC-ES-320a.3c,Social and environmental responsibility audit compliance for suppliers: priority non-conformance rate and associated corrective action rate
2401,TC-ES-320a.3d,Social and environmental responsibility audit compliance for suppliers: other non- conformances rate and associated corrective action rate
2402,TC-ES-410a.1a,Weight of end-of-life products and e-waste recovered
2403,TC-ES-410a.1b,Percentage of end-of-life products and e-waste recovered that are recycled
2404,TC-ES-440a.1a,Description of the management of risks associated with the use of critical materials
2405,TC-HW-000.Aa,Number of units produced by product category
2406,TC-HW-000.Ba,Area of manufacturing facilities
2407,TC-HW-000.Ca,Percentage of production from owned facilities
2408,TC-HW-230a.1a,Description of approach to identifying and addressing data security risks in products
2409,TC-HW-330a.1a,Percentage of management who are female
2410,TC-HW-330a.1aa,Percentage of all other employees who racial/ethnic group representation is not available or not disclosed
2411,TC-HW-330a.1b,Percentage of management who are male
2412,TC-HW-330a.1bb,The entity shall discuss its policies and programs for fostering equitable employee representation across its global operations
2413,TC-HW-330a.1c,Percentage of management whose gender is not available or not disclosed
2414,TC-HW-330a.1d,Percentage of technical staff who are female
2415,TC-HW-330a.1e,Percentage of technical staff who are male
2416,TC-HW-330a.1f,Percentage of technical staff whose gender is not available or not disclosed
2417,TC-HW-330a.1g,Percentage of all other employees who are female
2418,TC-HW-330a.1h,Percentage of all other employees who are male
2419,TC-HW-330a.1i,Percentage of all other employees whose gender is not available or not disclosed
2420,TC-HW-330a.1j,Percentage of management who are Asian
2421,TC-HW-330a.1k,Percentage of management who are Black or African American
2422,TC-HW-330a.1l,Percentage of management who are Hispanic or Latino
2423,TC-HW-330a.1m,Percentage of management who are White
2424,TC-HW-330a.1n,"Percentage of management whose racial/ethnic group representation is classified as ""Other"""
2425,TC-HW-330a.1o,Percentage of management whose racial/ethnic group representation is not available or not disclosed
2426,TC-HW-330a.1p,Percentage of technical staff who are Asian
2427,TC-HW-330a.1q,Percentage of technical staff who are Black or African American
2428,TC-HW-330a.1r,Percentage of technical staff who are Hispanic or Latino
2429,TC-HW-330a.1s,Percentage of technical staff who are White
2430,TC-HW-330a.1t,"Percentage of technical staff whose racial/ethnic group representation is classified as ""Other"""
2431,TC-HW-330a.1u,Percentage of technical staff whose racial/ethnic group representation is not disclosed or not available
2432,TC-HW-330a.1v,Percentage of all other employees who are Asian
2433,TC-HW-330a.1w,Percentage of all other employees who are Black or African American
2434,TC-HW-330a.1x,Percentage of all other employees who are Hispanic or Latino
2435,TC-HW-330a.1y,Percentage of all other employees who are White
2436,TC-HW-330a.1z,"Percentage of all other employees whose racial/ethnic group representation is classified as ""Other"""
2437,TC-HW-410a.1a,Percentage of products by revenue that contain IEC 62474 declarable substances
2438,TC-HW-410a.1b,Disclosure shall include a discussion of the approach to managing the use of IEC 62474 declarable substances
2439,TC-HW-410a.2a,"Percentage of eligible products, by revenue, meeting the requirements for EPEAT registration or equivalent"
2440,TC-HW-410a.2b,Disclosure shall include a discussion of efforts to incorporate environmentally focused principles into product design
2441,TC-HW-410a.3a,"Percentage of eligible products, by revenue, meeting ENERGY STAR® criteria"
2442,TC-HW-410a.4a,Weight of end-of-life products and e-waste recovered
2443,TC-HW-410a.4b,Percentage of weight of recovered end-of-life products and e-waste that are recycled
2444,TC-HW-430a.1a,Percentage of Tier 1 supplier facilities audited in the RBA Validated Audit Process (VAP) or equivalent for all facilities
2445,TC-HW-430a.1b,Percentage of Tier 1 supplier facilities audited in the RBA Validated Audit Process (VAP) or equivalent for high-risk facilities
2446,TC-HW-430a.2a,Tier 1 suppliers’ non-conformance rate with the RBA Validated Audit Process (VAP) or equivalent for priority non-conformances
2447,TC-HW-430a.2b,Tier 1 suppliers’ non-conformance rate with the RBA Validated Audit Process (VAP) or equivalent for other non-conformances
2448,TC-HW-430a.2c,Tier 1 suppliers’ corrective action rate for priority non-conformances
2449,TC-HW-430a.2d,Tier 1 suppliers’ corrective action rate for other non-conformances
2450,TC-HW-440a.1a,Description of the management of risks associated with the use of critical materials
2451,TC-IM-000.Aa,Entity-defined measure of customer activity
2452,TC-IM-000.Ba,Data processing capacity
2453,TC-IM-000.Bb,Percentage of data processing capacity that is outsourced
2454,TC-IM-000.Ca,Amount of data storage
2455,TC-IM-000.Cb,Percentage of data storage that is outsourced
2456,TC-IM-130a.1a,Total energy consumed
2457,TC-IM-130a.1b,Percentage of total energy consumed that is grid electricity
2458,TC-IM-130a.1c,Percentage of total energy consumed that is renewable energy
2459,TC-IM-130a.2a,Total water withdrawn
2460,TC-IM-130a.2b,Total water consumed
2461,TC-IM-130a.2c,Percentage of water withdrawn in regions with High or Extremely High Baseline Water Stress
2462,TC-IM-130a.3a,Discussion of the integration of environmental considerations into strategic planning for data center needs
2463,TC-IM-220a.1a,Description of policies and practices relating to behavioral advertising and user privacy
2464,TC-IM-220a.2a,Number of users whose information is used for secondary purposes
2465,TC-IM-220a.3a,Total amount of monetary losses as a result of legal proceedings associated with user privacy
2466,TC-IM-220a.3b,"The entity shall briefly describe the nature, context, and any corrective actions taken as a result of the monetary losses"
2467,TC-IM-220a.4a,Number of law enforcement requests for user information
2468,TC-IM-220a.4b,Number of users whose information was requested
2469,TC-IM-220a.4c,Percentage of law enforcement requests for user information which resulted in disclosure
2470,TC-IM-220a.5a,"List of countries where core products or services are subject to government-required monitoring, blocking, content filtering, or censoring"
2471,TC-IM-220a.5b,"Disclosure shall include a description of the extent of the impact in each case and, where relevant, a discussion of the entity’s policies and practices related to freedom of expression"
2472,TC-IM-220a.6a,Number of government requests to remove content
2473,TC-IM-220a.6b,Percentage compliance with government requests to remove content
2474,TC-IM-230a.1a,Number of data breaches
2475,TC-IM-230a.1b,Percentage of data breaches involving users’ personally identifiable information (PII)
2476,TC-IM-230a.1c,Number of users affected
2477,TC-IM-230a.1d,Disclosure shall include a description of corrective actions implemented in response to data breaches
2478,TC-IM-230a.2a,"Description of approach to identifying and addressing data security risks, including use of third-party cybersecurity standards"
2479,TC-IM-330a.1a,Percentage of employees that are foreign nationals
2480,TC-IM-330a.1b,Disclosure shall include a description of potential risks of recruiting foreign nationals and management approach to addressing these risks
2481,TC-IM-330a.2a,Employee engagement as a percentage
2482,TC-IM-330a.2b,Disclosure shall include a description of methodology employed
2483,TC-IM-330a.3a,Percentage of management who are female
