,Accounting Metric Code,Accounting Metric or Activity Metric
846,TC-SC-320a.2,Total amount of monetary losses as a result of legal proceedings associated with employee health and safety violations
847,TC-SC-330a.1,Percentage of employees that are (1) foreign nationals and (2) located offshore
848,TC-SC-410a.1,Percentage of products by revenue that contain IEC 62474 declarable substances
849,TC-SC-410a.2,"Processor energy efficiency at a system-level for: (1) servers, (2) desktops, and (3) laptops"
850,TC-SC-440a.1,Description of the management of risks associated with the use of critical materials
851,TC-SC-520a.1,Total amount of monetary losses as a result of legal proceedings associated with anti-competitive behavior regulations
852,TC-SI-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
853,TC-SI-130a.2,"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress"
854,TC-SI-130a.3,Discussion of the integration of environmental considerations into strategic planning for data center needs
855,TC-SI-220a.1,Description of policies and practices relating to behavioral advertising and user privacy
856,TC-SI-220a.2,Number of users whose information is used for secondary purposes
857,TC-SI-220a.3,Total amount of monetary losses as a result of legal proceedings associated with user privacy
858,TC-SI-220a.4,"(1) Number of law enforcement requests for user information, (2) number of users whose information was requested, (3) percentage resulting in disclosure"
859,TC-SI-220a.5,"List of countries where core products or services are subject to government-required monitoring, blocking, content filtering, or censoring"
860,TC-SI-230a.1,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of users affected"
861,TC-SI-230a.2,"Description of approach to identifying and addressing data security risks, including use of third-party cybersecurity standards"
862,TC-SI-330a.1,Percentage of employees that are (1) foreign nationals and (2) located offshore
863,TC-SI-330a.2,Employee engagement as a percentage
864,TC-SI-330a.3,"Percentage of gender and racial/ethnic group representation for (1) management, (2) technical staff, and (3) all other employees"
865,TC-SI-520a.1,Total amount of monetary losses as a result of legal proceedings associated with anti-competitive behavior regulations
866,TC-SI-550a.1,Number of (1) performance issues and (2) service disruptions; (3) total customer downtime
867,TC-SI-550a.2,Description of business continuity risks related to disruptions of operations
868,TC-TL-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
869,TC-TL-220a.1,Description of policies and practices relating to behavioral advertising and customer privacy
870,TC-TL-220a.2,Number of customers whose information is used for secondary purposes
871,TC-TL-220a.3,Total amount of monetary losses as a result of legal proceedings associated with customer privacy
872,TC-TL-220a.4,"(1) Number of law enforcement requests for customer information, (2) number of customers whose information was requested, (3) percentage resulting in disclosure"
873,TC-TL-230a.1,"(1) Number of data breaches, (2) percentage involving personally identifiable information (PII), (3) number of customers affected"
874,TC-TL-230a.2,"Description of approach to identifying and addressing data security risks, including use of third-party cybersecurity standards"
875,TC-TL-440a.1,"(1) Materials recovered through take back programs, percentage of recovered materials that were (2) reused, (3) recycled, and (4) landfilled"
876,TC-TL-520a.1,Total amount of monetary losses as a result of legal proceedings associated with anti-competitive behavior regulations
877,TC-TL-520a.2,Average actual sustained download speed of (1) owned and commercially-associated content and (2) non-associated content
878,TC-TL-520a.3,"Description of risks and opportunities associated with net neutrality, paid peering, zero rating, and related practices"
879,TC-TL-550a.1,(1) System average interruption frequency and (2) customer average interruption duration
880,TC-TL-550a.2,Discussion of systems to provide unimpeded service during service interruptions
881,TR-AF-110a.1,Gross global Scope 1 emissions
882,TR-AF-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
883,TR-AF-110a.3,"Fuel consumed by (1) road transport, percentage (a) natural gas and (b) renewable, and (2) air transport, percentage (a) alternative and (b) sustainable"
884,TR-AF-120a.1,"Air emissions of the following pollutants: (1) NOx (excluding N2O), (2) SOx, and (3) particulate matter (PM10)"
885,TR-AF-310a.1,Percentage of drivers classified as independent contractors
886,TR-AF-310a.2,Total amount of monetary losses as a result of legal proceedings associated with labor law violations
887,TR-AF-320a.1,(1) Total recordable incident rate (TRIR) and (2) fatality rate for (a) direct employees and (b) contract employees
888,TR-AF-430a.1,Percentage of carriers with BASIC percentiles above the FMCSA intervention threshold
889,TR-AF-430a.2,Total greenhouse gas (GHG) footprint across transport modes
890,TR-AF-540a.1,Description of implementation and outcomes of a Safety Management System
891,TR-AF-540a.2,Number of aviation accidents
892,TR-AF-540a.3,Number of road accidents and incidents
893,TR-AF-540a.4,"Safety Measurement System BASIC percentiles for: (1) Unsafe Driving, (2) Hours-of-Service Compliance, (3) Driver Fitness, (4) Controlled Substances/Alcohol, (5) Vehicle Maintenance, and (6) Hazardous Materials Compliance"
894,TR-AL-110a.1,Gross global Scope 1 emissions
895,TR-AL-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
896,TR-AL-110a.3,"(1) Total fuel consumed, (2) percentage alternative, (3) percentage sustainable"
897,TR-AL-310a.1,Percentage of active workforce covered under collective bargaining agreements
898,TR-AL-310a.2,(1) Number of work stoppages and (2) total days idle
899,TR-AL-520a.1,Total amount of monetary losses as a result of legal proceedings associated with anti-competitive behavior regulations
900,TR-AL-540a.1,Description of implementation and outcomes of a Safety Management System
901,TR-AL-540a.2,Number of aviation accidents
902,TR-AL-540a.3,Number of governmental enforcement actions of aviation safety regulations
903,TR-AP-130a.1,"(1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable"
904,TR-AP-150a.1,"(1) Total amount of waste from manufacturing, (2) percentage hazardous, (3) percentage recycled"
905,TR-AP-250a.1,"Number of recalls issued, total units recalled"
906,TR-AP-410a.1,Revenue from products designed to increase fuel efficiency and/or reduce emissions
907,TR-AP-440a.1,Description of the management of risks associated with the use of critical materials
908,TR-AP-440b.1,Percentage of products sold that are recyclable
909,TR-AP-440b.2,Percentage of input materials from recycled or remanufactured content
910,TR-AP-520a.1,Total amount of monetary losses as a result of legal proceedings associated with anti-competitive behavior regulations
911,TR-AU-250a.1,"Percentage of vehicle models rated by NCAP programs with an overall 5-star safety rating, by region"
912,TR-AU-250a.2,"Number of safety-related defect complaints, percentage investigated"
913,TR-AU-250a.3,Number of vehicles recalled
914,TR-AU-310a.1,Percentage of active workforce covered under collective bargaining agreements
915,TR-AU-310a.2,(1) Number of work stoppages and (2) total days idle
916,TR-AU-410a.1,"Sales-weighted average passenger fleet fuel economy, by region"
917,TR-AU-410a.2,"Number of (1) zero emission vehicles (ZEV), (2) hybrid vehicles, and (3) plug-in hybrid vehicles sold"
918,TR-AU-410a.3,Discussion of strategy for managing fleet fuel economy and emissions risks and opportunities
919,TR-AU-440a.1,Description of the management of risks associated with the use of critical materials
920,TR-AU-440b.1,"Total amount of waste from manufacturing, percentage recycled"
921,TR-AU-440b.2,"Weight of end-of-life material recovered, percentage recycled"
922,TR-AU-440b.3,Average recyclability of vehicles sold
923,TR-CL-110a.1,Gross global Scope 1 emissions
924,TR-CL-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
925,TR-CL-110a.3,"(1) Total energy consumed, (2) percentage heavy fuel oil, (3) percentage onshore power supply (OPS), (4) percentage renewable"
926,TR-CL-110a.4,Average Energy Efficiency Design Index (EEDI) for new ships
927,TR-CL-120a.1,"Air emissions of the following pollutants: (1) NOx (excluding N2O), (2) SOx, and (3) particulate matter (PM10)"
928,TR-CL-160a.1,"Total amount of ship waste discharged to the environment, percentage treated prior to discharge"
929,TR-CL-160a.2,Percentage of fleet implementing ballast water (1) exchange and (2) treatment
930,TR-CL-160a.3,Cruise duration in marine protected areas or areas of protected conservation status
931,TR-CL-160a.4,Number of notices of violations received for dumping
932,TR-CL-250a.1,Number of alleged crime incidents involving passengers or employees
933,TR-CL-250a.2,"Fleet average CDC Vessel Sanitation Program inspection score, percentage of inspections failed"
934,TR-CL-250a.3,(1) Serious injuries per million passengers and (2) number of voyages with a gastrointestinal illness count exceeding 2%
935,TR-CL-310a.1,"Average hourly wage for seafarers, by region"
936,TR-CL-310a.2,Percentage of seafarers working maximum hours
937,TR-CL-310a.3,Percentage of seafarers paid for overtime
938,TR-CL-310a.4,Total amount of monetary losses as a result of legal proceedings associated with labor law violations
939,TR-CL-320a.1,Seafarer lost time incident rate (LTIR)
940,TR-CL-540a.1,Number of Conditions of Class or Recommendations
941,TR-CL-540a.2,Number of port state control (1) deficiencies and (2) detentions
942,TR-CL-540a.3,"Number of marine casualties, percentage classified as very serious"
943,TR-CR-250a.1,"Percentage of rental fleet vehicles rated by NCAP programs with an overall 5-star safety rating, by region"
944,TR-CR-250a.2,Number of vehicles recalled
945,TR-CR-410a.1,"Rental day-weighted average rental fleet fuel economy, by region"
946,TR-CR-410a.2,Fleet utilization rate
947,TR-MT-110a.1,Gross global Scope 1 emissions
948,TR-MT-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
949,TR-MT-110a.3,"(1) Total energy consumed, (2) percentage heavy fuel oil, (3) percentage renewable"
950,TR-MT-110a.4,Average Energy Efficiency Design Index (EEDI) for new ships
951,TR-MT-120a.1,"Air emissions of the following pollutants: (1) NOx (excluding N2O), (2) SOx, and (3) particulate matter (PM10)"
952,TR-MT-160a.1,Shipping duration in marine protected areas or areas of protected conservation status
953,TR-MT-160a.2,Percentage of fleet implementing ballast water (1) exchange and (2) treatment
954,TR-MT-160a.3,(1) Number and (2) aggregate volume of spills and releases to the environment
955,TR-MT-320a.1,Lost time incident rate (LTIR)
956,TR-MT-510a.1,Number of calls at ports in countries that have the 20 lowest rankings in Transparency International’s Corruption Perception Index
957,TR-MT-510a.2,Total amount of monetary losses as a result of legal proceedings associated with bribery or corruption
958,TR-MT-540a.1,"Number of marine casualties, percentage classified as very serious"
959,TR-MT-540a.2,Number of Conditions of Class or Recommendations
960,TR-MT-540a.3,Number of port state control (1) deficiencies and (2) detentions
961,TR-RA-110a.1,Gross global Scope 1 emissions
962,TR-RA-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
963,TR-RA-110a.3,"Total fuel consumed, percentage renewable"
964,TR-RA-120a.1,Air emissions of the following pollutants: (1) NOx (excluding N2O) and (2) particulate matter (PM10)
965,TR-RA-320a.1,"(1) Total recordable incident rate (TRIR), (2) fatality rate, and (3) near miss frequency rate (NMFR)"
966,TR-RA-520a.1,Total amount of monetary losses as a result of legal proceedings associated with anti-competitive behavior regulations
967,TR-RA-540a.1,Number of accidents and incidents
968,TR-RA-540a.2,Number of (1) accident releases and (2) non-accident releases (NARs)
969,TR-RA-540a.3,Number of Federal Railroad Administration (FRA) Recommended Violation Defects
970,TR-RA-540a.4,Frequency of internal railway integrity inspections
971,TR-RO-110a.1,Gross global Scope 1 emissions
972,TR-RO-110a.2,"Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets"
973,TR-RO-110a.3,"(1) Total fuel consumed, (2) percentage natural gas, (3) percentage renewable"
974,TR-RO-120a.1,"Air emissions of the following pollutants: (1) NOx (excluding N2O), (2) SOx, and (3) particulate matter (PM10)"
975,TR-RO-320a.1,(1) Total recordable incident rate (TRIR) and (2) fatality rate for (a) direct employees and (b) contract employees
976,TR-RO-320a.2,(1) Voluntary and (2) involuntary turnover rate for all employees
977,TR-RO-320a.3,Description of approach to managing short-term and long-term driver health risks
978,TR-RO-540a.1,Number of road accidents and incidents
979,TR-RO-540a.2,"Safety Measurement System BASIC percentiles for: (1) Unsafe Driving, (2) Hours-of-Service Compliance, (3) Driver Fitness, (4) Controlled Substances/Alcohol, (5) Vehicle Maintenance, and (6) Hazardous Materials Compliance"
980,TR-RO-540a.3,(1) Number and (2) aggregate volume of spills and releases to the environment
