,Sub-Metric Code OR Sub-Activity Metric Code,Activity Metric Code,Sector Code,Industry Code,Disclosure Topic Code,Accounting Metric Code,Accounting Metric Category,Accounting Metric Unit of Measure,Sub-Metric Code,Sub-Metric Unit of Measure,variable,value
329434,IF-EU-240a.3b,,IF,IF-EU,IF-EU-240a,IF-EU-240a.3,Quantitative,"Number, Percentage (%)",IF-EU-240a.3b,Percentage (%),US0185223007,0.25
329435,IF-EU-240a.4a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.4,Discussion and Analysis,,IF-EU-240a.4a,,US0185223007,TEXT
329436,IF-EU-320a.1a,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1a,Rate,US0185223007,310
329437,IF-EU-320a.1b,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1b,Rate,US0185223007,326
329438,IF-EU-320a.1c,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1c,Rate,US0185223007,113
329439,IF-EU-420a.1a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.1,Quantitative,Percentage (%),IF-EU-420a.1a,Percentage (%),US0185223007,0.57
329440,IF-EU-420a.1b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.1,Quantitative,Percentage (%),IF-EU-420a.1b,Percentage (%),US0185223007,0.28
329441,IF-EU-420a.2a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.2,Quantitative,Percentage (%) by megawatt hours (MWh),IF-EU-420a.2a,Percentage (%) by megawatt hours (MWh),US0185223007,0.4
329442,IF-EU-420a.2b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.2,Quantitative,Percentage (%) by megawatt hours (MWh),IF-EU-420a.2b,,US0185223007,TEXT
329443,IF-EU-420a.3a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.3,Quantitative,Megawatt hours (MWh),IF-EU-420a.3a,Megawatt hours (MWh),US0185223007,611
329444,IF-EU-420a.3b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.3,Quantitative,Megawatt hours (MWh),IF-EU-420a.3b,,US0185223007,TEXT
329445,IF-EU-540a.1a,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1a,Number,US0185223007,336
329446,IF-EU-540a.1b,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1b,Number,US0185223007,909
329447,IF-EU-540a.1c,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1c,Number,US0185223007,446
329448,IF-EU-540a.1d,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1d,Number,US0185223007,636
329449,IF-EU-540a.1e,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1e,Number,US0185223007,709
329450,IF-EU-540a.2a,,IF,IF-EU,IF-EU-540a,IF-EU-540a.2,Discussion and Analysis,,IF-EU-540a.2a,,US0185223007,TEXT
329451,IF-EU-550a.1a,,IF,IF-EU,IF-EU-550a,IF-EU-550a.1,Quantitative,Number,IF-EU-550a.1a,Number,US0185223007,357
329452,IF-EU-550a.2a,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2a,Minutes,US0185223007,35
329453,IF-EU-550a.2b,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2b,Number,US0185223007,680
329454,IF-EU-550a.2c,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2c,Minutes,US0185223007,781
329455,IF-EU-550a.2d,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2d,,US0185223007,TEXT
332249,IF-EU-000.Aa,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Aa,Number,US0188021085,844
332250,IF-EU-000.Ab,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Ab,Number,US0188021085,752
332251,IF-EU-000.Ac,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Ac,Number,US0188021085,735
332252,IF-EU-000.Ba,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Ba,Megawatt hours (MWh),US0188021085,773
332253,IF-EU-000.Bb,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bb,Megawatt hours (MWh),US0188021085,864
332254,IF-EU-000.Bc,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bc,Megawatt hours (MWh),US0188021085,299
332255,IF-EU-000.Bd,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bd,Megawatt hours (MWh),US0188021085,198
332256,IF-EU-000.Be,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Be,Megawatt hours (MWh),US0188021085,951
332257,IF-EU-000.Ca,,IF,IF-EU,IF-EU-000.C,,Quantitative,Kilometers (km),IF-EU-000.Ca,Kilometers (km),US0188021085,636
332258,IF-EU-000.Da,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Da,Megawatt hours (MWh),US0188021085,115
332259,IF-EU-000.Db,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Db,Percentage (%),US0188021085,0.59
332260,IF-EU-000.Dc,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Dc,Percentage (%),US0188021085,0.5
332261,IF-EU-000.Ea,,IF,IF-EU,IF-EU-000.E,,Quantitative,Megawatt hours (MWh),IF-EU-000.Ea,Megawatt hours (MWh),US0188021085,546
332262,IF-EU-110a.1a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1a,Metric tons (t)  CO₂-e,US0188021085,423
332263,IF-EU-110a.1b,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1b,Percentage (%),US0188021085,0.25
332264,IF-EU-110a.1c,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1c,Percentage (%),US0188021085,0.47
332265,IF-EU-110a.2a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.2,Quantitative,Metric tons (t) CO₂-e,IF-EU-110a.2a,Metric tons (t) CO₂-e,US0188021085,91
332266,IF-EU-110a.3a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.3,Discussion and Analysis,,IF-EU-110a.3a,,US0188021085,TEXT
332267,IF-EU-110a.4a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4a,Number,US0188021085,520
332268,IF-EU-110a.4b,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4b,Percentage (%),US0188021085,0.2
332269,IF-EU-110a.4c,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4c,,US0188021085,TEXT
332270,IF-EU-120a.1a,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1a,Metric tons (t),US0188021085,943
332271,IF-EU-120a.1b,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1b,Metric tons (t),US0188021085,308
332272,IF-EU-120a.1c,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1c,Metric tons (t),US0188021085,795
332273,IF-EU-120a.1d,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1d,Metric tons (t),US0188021085,187
332274,IF-EU-120a.1e,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1e,Metric tons (t),US0188021085,341
332275,IF-EU-120a.1f,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1f,Percentage (%),US0188021085,0.4
332276,IF-EU-120a.1g,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1g,Percentage (%),US0188021085,0.43
332277,IF-EU-120a.1h,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1h,Percentage (%),US0188021085,0.02
332278,IF-EU-120a.1i,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1i,Percentage (%),US0188021085,0.54
332279,IF-EU-120a.1j,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1j,Percentage (%),US0188021085,0.32
332280,IF-EU-140a.1a,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1a,Thousand cubic meters (m³),US0188021085,310
332281,IF-EU-140a.1b,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1b,Thousand cubic meters (m³),US0188021085,88
332282,IF-EU-140a.1c,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1c,Percentage (%),US0188021085,0.84
332283,IF-EU-140a.1d,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1d,Percentage (%),US0188021085,0.78
332284,IF-EU-140a.2a,,IF,IF-EU,IF-EU-140a,IF-EU-140a.2,Quantitative,Number,IF-EU-140a.2a,Number,US0188021085,709
332285,IF-EU-140a.3a,,IF,IF-EU,IF-EU-140a,IF-EU-140a.3,Discussion and Analysis,,IF-EU-140a.3a,,US0188021085,TEXT
332286,IF-EU-150a.1a,,IF,IF-EU,IF-EU-150a,IF-EU-150a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-150a.1a,Metric tons (t),US0188021085,553
332287,IF-EU-150a.1b,,IF,IF-EU,IF-EU-150a,IF-EU-150a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-150a.1b,Percentage (%),US0188021085,0.02
332288,IF-EU-150a.2a,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2a,Number,US0188021085,627
332289,IF-EU-150a.2b,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2b,Number,US0188021085,204
332290,IF-EU-150a.2c,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2c,Number,US0188021085,459
332291,IF-EU-150a.2d,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2d,Number,US0188021085,601
332292,IF-EU-150a.2e,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2e,Number,US0188021085,446
332293,IF-EU-150a.2f,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2f,Number,US0188021085,446
332294,IF-EU-150a.2g,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2g,Number,US0188021085,468
332295,IF-EU-150a.2h,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2h,Number,US0188021085,554
332296,IF-EU-150a.2i,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2i,Number,US0188021085,511
332297,IF-EU-150a.2j,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2j,Number,US0188021085,480
332298,IF-EU-150a.2k,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2k,Number,US0188021085,63
332299,IF-EU-150a.2l,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2l,Number,US0188021085,527
332300,IF-EU-150a.2m,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2m,Number,US0188021085,578
332301,IF-EU-150a.2n,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2n,Number,US0188021085,29
332302,IF-EU-150a.2o,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2o,Number,US0188021085,86
332303,IF-EU-150a.2p,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2p,Number,US0188021085,423
332304,IF-EU-150a.2q,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2q,Number,US0188021085,162
332305,IF-EU-240a.1a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.1,Quantitative,Rate,IF-EU-240a.1a,U.S. dollars ($),US0188021085,776
332306,IF-EU-240a.1b,,IF,IF-EU,IF-EU-240a,IF-EU-240a.1,Quantitative,Rate,IF-EU-240a.1b,Reporting currency,US0188021085,530
332307,IF-EU-240a.1c,,IF,IF-EU,IF-EU-240a,IF-EU-240a.1,Quantitative,Rate,IF-EU-240a.1c,Reporting currency,US0188021085,328
332308,IF-EU-240a.2a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.2,Quantitative,Reporting currency,IF-EU-240a.2a,Reporting currency,US0188021085,377
332309,IF-EU-240a.2b,,IF,IF-EU,IF-EU-240a,IF-EU-240a.2,Quantitative,Reporting currency,IF-EU-240a.2b,Reporting currency,US0188021085,154
332310,IF-EU-240a.3a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.3,Quantitative,"Number, Percentage (%)",IF-EU-240a.3a,Number,US0188021085,444
332311,IF-EU-240a.3b,,IF,IF-EU,IF-EU-240a,IF-EU-240a.3,Quantitative,"Number, Percentage (%)",IF-EU-240a.3b,Percentage (%),US0188021085,0.66
332312,IF-EU-240a.4a,,IF,IF-EU,IF-EU-240a,IF-EU-240a.4,Discussion and Analysis,,IF-EU-240a.4a,,US0188021085,TEXT
332313,IF-EU-320a.1a,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1a,Rate,US0188021085,374
332314,IF-EU-320a.1b,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1b,Rate,US0188021085,601
332315,IF-EU-320a.1c,,IF,IF-EU,IF-EU-320a,IF-EU-320a.1,Quantitative,Rate,IF-EU-320a.1c,Rate,US0188021085,574
332316,IF-EU-420a.1a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.1,Quantitative,Percentage (%),IF-EU-420a.1a,Percentage (%),US0188021085,0.15
332317,IF-EU-420a.1b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.1,Quantitative,Percentage (%),IF-EU-420a.1b,Percentage (%),US0188021085,0.73
332318,IF-EU-420a.2a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.2,Quantitative,Percentage (%) by megawatt hours (MWh),IF-EU-420a.2a,Percentage (%) by megawatt hours (MWh),US0188021085,0.59
332319,IF-EU-420a.2b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.2,Quantitative,Percentage (%) by megawatt hours (MWh),IF-EU-420a.2b,,US0188021085,TEXT
332320,IF-EU-420a.3a,,IF,IF-EU,IF-EU-420a,IF-EU-420a.3,Quantitative,Megawatt hours (MWh),IF-EU-420a.3a,Megawatt hours (MWh),US0188021085,301
332321,IF-EU-420a.3b,,IF,IF-EU,IF-EU-420a,IF-EU-420a.3,Quantitative,Megawatt hours (MWh),IF-EU-420a.3b,,US0188021085,TEXT
332322,IF-EU-540a.1a,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1a,Number,US0188021085,503
332323,IF-EU-540a.1b,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1b,Number,US0188021085,116
332324,IF-EU-540a.1c,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1c,Number,US0188021085,860
332325,IF-EU-540a.1d,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1d,Number,US0188021085,265
332326,IF-EU-540a.1e,,IF,IF-EU,IF-EU-540a,IF-EU-540a.1,Quantitative,Number,IF-EU-540a.1e,Number,US0188021085,881
332327,IF-EU-540a.2a,,IF,IF-EU,IF-EU-540a,IF-EU-540a.2,Discussion and Analysis,,IF-EU-540a.2a,,US0188021085,TEXT
332328,IF-EU-550a.1a,,IF,IF-EU,IF-EU-550a,IF-EU-550a.1,Quantitative,Number,IF-EU-550a.1a,Number,US0188021085,116
332329,IF-EU-550a.2a,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2a,Minutes,US0188021085,847
332330,IF-EU-550a.2b,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2b,Number,US0188021085,535
332331,IF-EU-550a.2c,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2c,Minutes,US0188021085,673
332332,IF-EU-550a.2d,,IF,IF-EU,IF-EU-550a,IF-EU-550a.2,Quantitative,"Minutes, Number",IF-EU-550a.2d,,US0188021085,TEXT
335126,IF-EU-000.Aa,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Aa,Number,CH0034389707,657
335127,IF-EU-000.Ab,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Ab,Number,CH0034389707,589
335128,IF-EU-000.Ac,,IF,IF-EU,IF-EU-000.A,,Quantitative,Number,IF-EU-000.Ac,Number,CH0034389707,119
335129,IF-EU-000.Ba,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Ba,Megawatt hours (MWh),CH0034389707,788
335130,IF-EU-000.Bb,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bb,Megawatt hours (MWh),CH0034389707,258
335131,IF-EU-000.Bc,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bc,Megawatt hours (MWh),CH0034389707,563
335132,IF-EU-000.Bd,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Bd,Megawatt hours (MWh),CH0034389707,16
335133,IF-EU-000.Be,,IF,IF-EU,IF-EU-000.B,,Quantitative,Megawatt hours (MWh),IF-EU-000.Be,Megawatt hours (MWh),CH0034389707,361
335134,IF-EU-000.Ca,,IF,IF-EU,IF-EU-000.C,,Quantitative,Kilometers (km),IF-EU-000.Ca,Kilometers (km),CH0034389707,447
335135,IF-EU-000.Da,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Da,Megawatt hours (MWh),CH0034389707,797
335136,IF-EU-000.Db,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Db,Percentage (%),CH0034389707,0.43
335137,IF-EU-000.Dc,,IF,IF-EU,IF-EU-000.D,,Quantitative,"Megawatt hours (MWh), Percentage (%)",IF-EU-000.Dc,Percentage (%),CH0034389707,0.02
335138,IF-EU-000.Ea,,IF,IF-EU,IF-EU-000.E,,Quantitative,Megawatt hours (MWh),IF-EU-000.Ea,Megawatt hours (MWh),CH0034389707,964
335139,IF-EU-110a.1a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1a,Metric tons (t)  CO₂-e,CH0034389707,822
335140,IF-EU-110a.1b,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1b,Percentage (%),CH0034389707,0.56
335141,IF-EU-110a.1c,,IF,IF-EU,IF-EU-110a,IF-EU-110a.1,Quantitative,"Metric tons (t) CO₂-e, Percentage (%)",IF-EU-110a.1c,Percentage (%),CH0034389707,0.38
335142,IF-EU-110a.2a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.2,Quantitative,Metric tons (t) CO₂-e,IF-EU-110a.2a,Metric tons (t) CO₂-e,CH0034389707,944
335143,IF-EU-110a.3a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.3,Discussion and Analysis,,IF-EU-110a.3a,,CH0034389707,TEXT
335144,IF-EU-110a.4a,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4a,Number,CH0034389707,821
335145,IF-EU-110a.4b,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4b,Percentage (%),CH0034389707,0.95
335146,IF-EU-110a.4c,,IF,IF-EU,IF-EU-110a,IF-EU-110a.4,Quantitative,"Number, Percentage (%)",IF-EU-110a.4c,,CH0034389707,TEXT
335147,IF-EU-120a.1a,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1a,Metric tons (t),CH0034389707,435
335148,IF-EU-120a.1b,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1b,Metric tons (t),CH0034389707,929
335149,IF-EU-120a.1c,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1c,Metric tons (t),CH0034389707,365
335150,IF-EU-120a.1d,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1d,Metric tons (t),CH0034389707,69
335151,IF-EU-120a.1e,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1e,Metric tons (t),CH0034389707,145
335152,IF-EU-120a.1f,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1f,Percentage (%),CH0034389707,0.44
335153,IF-EU-120a.1g,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1g,Percentage (%),CH0034389707,0.65
335154,IF-EU-120a.1h,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1h,Percentage (%),CH0034389707,0.8
335155,IF-EU-120a.1i,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1i,Percentage (%),CH0034389707,0.71
335156,IF-EU-120a.1j,,IF,IF-EU,IF-EU-120a,IF-EU-120a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-120a.1j,Percentage (%),CH0034389707,0.95
335157,IF-EU-140a.1a,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1a,Thousand cubic meters (m³),CH0034389707,95
335158,IF-EU-140a.1b,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1b,Thousand cubic meters (m³),CH0034389707,52
335159,IF-EU-140a.1c,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1c,Percentage (%),CH0034389707,0.57
335160,IF-EU-140a.1d,,IF,IF-EU,IF-EU-140a,IF-EU-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",IF-EU-140a.1d,Percentage (%),CH0034389707,0.7
335161,IF-EU-140a.2a,,IF,IF-EU,IF-EU-140a,IF-EU-140a.2,Quantitative,Number,IF-EU-140a.2a,Number,CH0034389707,443
335162,IF-EU-140a.3a,,IF,IF-EU,IF-EU-140a,IF-EU-140a.3,Discussion and Analysis,,IF-EU-140a.3a,,CH0034389707,TEXT
335163,IF-EU-150a.1a,,IF,IF-EU,IF-EU-150a,IF-EU-150a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-150a.1a,Metric tons (t),CH0034389707,174
335164,IF-EU-150a.1b,,IF,IF-EU,IF-EU-150a,IF-EU-150a.1,Quantitative,"Metric tons (t), Percentage (%)",IF-EU-150a.1b,Percentage (%),CH0034389707,0.98
335165,IF-EU-150a.2a,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2a,Number,CH0034389707,711
335166,IF-EU-150a.2b,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2b,Number,CH0034389707,565
335167,IF-EU-150a.2c,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2c,Number,CH0034389707,172
335168,IF-EU-150a.2d,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2d,Number,CH0034389707,293
335169,IF-EU-150a.2e,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2e,Number,CH0034389707,246
335170,IF-EU-150a.2f,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2f,Number,CH0034389707,772
335171,IF-EU-150a.2g,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2g,Number,CH0034389707,280
335172,IF-EU-150a.2h,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2h,Number,CH0034389707,515
335173,IF-EU-150a.2i,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2i,Number,CH0034389707,34
335174,IF-EU-150a.2j,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2j,Number,CH0034389707,754
335175,IF-EU-150a.2k,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2k,Number,CH0034389707,744
335176,IF-EU-150a.2l,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2l,Number,CH0034389707,398
335177,IF-EU-150a.2m,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2m,Number,CH0034389707,131
335178,IF-EU-150a.2n,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2n,Number,CH0034389707,383
335179,IF-EU-150a.2o,,IF,IF-EU,IF-EU-150a,IF-EU-150a.2,Quantitative,Number,IF-EU-150a.2o,Number,CH0034389707,101
